group,name,log2FC,FDR
EOAD,GPX3,0.113438504191885,0.271567486598433
EOAD,CBLN3,-0.243596663459059,0.305823925592064
EOAD,LTBP2,-0.0860421637121291,0.62268428691666
EOAD,IGFBP5,0.081401084471965,0.362080618906046
EOAD,OPCML,-0.177868021083352,0.3477732614427
EOAD,FSTL1,-0.05711022674266,0.656521449507206
EOAD,EPHA4,-0.217788121611397,0.110280378255723
EOAD,IGLON5,-0.0657981326016248,0.609183723401606
EOAD,ROBO1,-0.18302050656313,0.0799932359889286
EOAD,CA1,1.94024195527119,0.21807486145177
EOAD,GAPDH,-0.13880451044985,0.712690799762248
EOAD,BASP1,0.34369062878598,0.0205482171861339
EOAD,THY1,-0.131498102423235,0.391839671204357
EOAD,LTBP1,-0.130422709828975,0.121480316376723
EOAD,HSPA5,-0.0446269608442496,0.52589215015995
EOAD,TGOLN2,-0.0511488736251842,0.372560211151682
EOAD,PRRT3,-0.178844220731189,0.206416943624679
EOAD,ANG,0.340602586994019,0.231730586442601
EOAD,PLG,0.323545355201258,0.359982308334619
EOAD,BPNT2,-0.22642374485989,0.131865581356783
EOAD,MAN1A1,-0.128169961719674,0.217196409003323
EOAD,ISLR,-0.0723285863361678,0.439089440775495
EOAD,SERPINA6,0.307624151441063,0.355215330979482
EOAD,HRG,0.444520977211909,0.250396553580068
EOAD,F2,0.271266632468599,0.366767020022478
EOAD,APOC1,0.195833609763714,0.587482141112427
EOAD,PAM,-0.297398588093181,0.110280378255723
EOAD,SIRPA,-0.244773388431441,0.592470383049134
EOAD,PFN1,0.235992179767758,0.125543837998659
EOAD,SEMA4B,-0.0268122953228929,0.685892910295343
EOAD,PTPRN2,-0.371543365872368,0.161523312206784
EOAD,SHISA6,-0.0964712268642787,0.635649749017094
EOAD,AGT,0.063522376771056,0.665216955535511
EOAD,CLSTN1,-0.122212721807944,0.269006347587298
EOAD,QDPR,-0.022231469449796,0.848182285924621
EOAD,FRZB,-0.0113093198217715,0.923185192451395
EOAD,CALM1,0.351873331287104,0.0362551979621484
EOAD,SEMA7A,-0.147495795125945,0.631837497615648
EOAD,IGF2,0.0583583190176133,0.684185263632772
EOAD,MMRN2,0.0689269225856259,0.368082418651957
EOAD,FUCA2,-0.244382204899802,0.701959572361838
EOAD,HTRA1,-0.0579550973223464,0.578298112718049
EOAD,TMEM132A,-0.0174392030725219,0.902141084696114
